station_no,SAMARAN,DAYANIDHI MARAN,B. PARTHASARATHY,VINOJ,M.L.RAVI,C.S.KARNAN,Dr.R.KARTHIKEYAN,K.CHANDRASEKAR,SENTHILKUMAR,A.SELVA KUMAR,DILAVAR ALI,AGNI AALVAR,P.ARJUNAN,ANBAZHAGAN G,UDAYA KUMAR V,G.OMPRAKASH,S.KANDASAMY,L.KASINATHAN,S.SATHISH KUMAR S/O SATHYANATHAN.S,S.SATHISH KUMAR S/O SRIRAMULU,DHAYANIDHI SURESH,V.V.TAMILARASAN,M.NAGARAJ,J.NAGARAJ,B.PARTHASARATHY,MANJUNATHA.R,R.MINNAL RAJ,RANJITHKUMAR.S,RAVI BALARAMAN,N.RAMAN,R.VIJAY,total_valid,nota,total
94,1,367,42,35,0,0,55,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,508,4,512
95,7,603,32,92,0,0,57,0,0,0,3,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,1,1,0,0,0,806,9,815
96,2,496,43,55,1,0,56,1,0,0,5,2,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,668,11,679
97,2,594,22,49,0,0,55,0,0,0,3,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,2,0,0,1,1,735,3,738
98,0,90,16,394,0,2,6,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,514,16,530
99,0,147,25,291,1,1,9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,2,479
100,1,256,41,232,1,2,33,1,0,1,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,578,9,587
101,2,211,37,231,0,1,18,0,0,0,0,1,1,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,508,14,522
102,1,147,49,451,1,1,16,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,675,14,689
103,3,52,4,358,0,0,12,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,437,4,441
104,1,127,15,620,1,0,8,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,779,6,785
105,2,339,38,171,1,2,22,1,0,0,2,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,587,10,597
106,3,173,19,385,0,3,21,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,610,17,627
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,3,283,59,264,0,2,22,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,642,18,660
109,1,101,26,465,0,0,7,0,1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,610,11,621
110,2,292,23,125,0,0,23,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,470,7,477
111,2,229,24,209,0,0,30,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,499,10,509
112,0,243,32,119,1,2,16,0,0,0,2,1,1,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,423,6,429
113,1,291,19,79,1,0,29,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,427,13,440
114,2,342,81,191,1,0,46,1,1,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,671,15,686
115,4,248,20,266,0,1,38,0,1,0,0,0,0,4,0,2,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,589,13,602
116,1,222,41,307,0,1,27,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,0,1,1,0,0,609,12,621
117,1,172,20,179,1,0,19,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,399,11,410
118,0,127,12,195,0,0,11,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,351,2,353
119,0,237,56,211,0,0,33,0,0,0,2,0,0,1,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,546,10,556
120,2,494,45,106,2,1,42,0,0,0,2,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,702,7,709
121,3,545,38,109,2,0,39,1,0,0,2,1,1,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,748,9,757
122,2,495,54,117,1,1,25,0,1,0,2,4,0,5,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,714,8,722
123,3,421,40,135,0,0,54,2,1,0,3,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,666,23,689
124,1,589,50,101,1,0,37,1,0,0,2,1,0,3,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,792,9,801
125,2,355,48,63,1,0,33,0,0,0,2,2,1,3,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,516,5,521
126,1,457,61,107,0,1,30,2,0,1,2,0,0,0,2,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,673,7,680
