part_no,ps_no,building,pincode,polling_area,voter_type
93,93,"K.R.C.A.R.C Girls Higher Secondary School, No:26-24 and 29, Saiva Muthiah Street, Muthaiyalpet, Chennai - 600001.",600001,1 - Muthaiyalpet Ward No 56 Salai Vinayagar Koil Street 2 - Muthaiyalpet Ward No 56 Salai Vinayagar Koil 1st Lane 3 - Muthaiyalpet Ward No 56 Salai Vinayagar Koil 2nd Lane,All Voters
94,94,"Chennai Middle School, No:16, Salaivinayagar Koil Street, Muthaiyalpet, Chennai - 600001.",600001,1 - Muthaiyalpet Ward No 56 Savarimuthu Street,All Voters
95,95,"Chennai Middle School, No:16, Salaivinayagar Koil Street, Muthaiyalpet, Chennai - 600001.",600001,1 - Muthaiyalpet Ward No 56 Geils Street 2 - Muthaiyalpet Ward No 56 Katchaleeswarar Garden 1st Lane 3 - Muthaiyalpet Ward No 56 Katchaleeswarar Garden 2nd Lane 4 - Muthaiyalpet Ward No 56 Katchaleeswarar Garden 3rd Lane 5 - Muthaiyalpet Ward No 56 Savarimuthu Lane 6 - Muthaiyalpet Ward No 56 Salai Vinayagar Koil Corporation Quarters,All Voters
96,96,"Dr. Dharmambal Middle School,No4,Coral Merchant Street Chennai-600001.",600001,1 - Muthaiyalpet Ward No 56 Coral Merchant Street Door No ( 47 To 167 & 94 To 182 ) 999 - Overseas Elector,All Voters
97,97,"Manavar Mantram Aided Primary School, No:1, Venkat Ayyar Street, Muthaiyalpet,Chennai - 600001.",600001,1 - Muthaiyalpet Ward No 56 Coral Merchant Street Door No ( 1 To 45 & 2 To 92 ),All Voters
98,98,"Manavar Mantram Aided Primary School, No:1, Venkat Ayyar Street, Muthaiyalpet,Chennai - 600001.",600001,1 - Muthaiyalpet Ward No 56 Nainiyappan Street,All Voters
99,99,"Chennai Middle School, No:95, Ramasamy Street, Muthaialpet, Chennai - 600001.",600001,1 - Muthaiyalpet Ward No 56 Malaiyappan Street 999 - Overseas Elector,All Voters
100,100,"Chennai Middle School, No:95, Ramasamy Street, Muthaialpet, Chennai - 600001.",600001,1 - Muthaiyalpet Ward No 56 Ramasamy Street Door No ( 1 To 79 & 2 To 80 ),All Voters
101,101,"Chennai Middle School, No:95, Ramasamy Street, Muthaialpet, Chennai - 600001.",600001,1 - Muthaiyalpet Ward No 56 Ramasamy Street Door No ( 81 To 119 & 82 To 120 ),All Voters
102,102,"Dr.R.S.M. Girls Higher Secondary School, No:126, Linghi Street, Muthaiyalpet, Chennai - 600001.",600001,1 - Muthaiyalpet Ward No 56 Thambu Street Door No ( 115 To 157 & 126 To 182 ) 2 - Muthaiyalpet Ward No 56 Narayanan Street Door No ( 25 To 33 & 8 ) 3 - Muthaiyalpet Ward No 56 Chellamuthu Street 4 - Muthaiyalpet Ward No 56 Malleeswaran Koil Street ( North ) 5 - Muthaiyalpet Ward No 56 Krishnan Koil Street Door No ( 9 To 41 & 10 To 38 ) 6 - Muthaiyalpet Ward No 56 Lingi Street ( 119 To 197 & 104 TO 146 ),All Voters
103,103,"St. Gabriels Higher Secondary School, No:28, Broadway, Chennai - 600108.",600108,1 - Muthaiyalpet Ward No 56 Sengazhuneer Pillaiyar Koil Street ( New Street ),All Voters
104,104,"Chennai Urdu Middle School, No:7, Angappan Street ,Vallal Seethakhadhi Nagar, Chennai - 600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 Narayanan Sarang Garden Street Door No ( 1 To 27 ) 2 - Vallal Seethakathi Nagar Ward No 60 Narayana Sarang Garden Street Door No ( 31 To Last ),All Voters
105,105,"Chennai Urdu Middle School, No:7, Angappan Street ,Vallal Seethakhadhi Nagar, Chennai - 600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 Thambu Street Door No ( 1 To 113 & 2 To 124 ) 2 - Vallal Seethakathi Nagar Ward No 60 Krishnan Koil Street,All Voters
106,106,"Corporation Community Centre, 3rd Lane, North Beach Road, Vallal Seethakathi Nagar, Chennai - 600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 Chennai Corporation Quarters Ibrahim Salai,All Voters
107,107,"Chennai Urdu Middle School, No:7, Angappan Street ,Vallal Seethakhadhi Nagar, Chennai - 600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 North Beach 4th Lane,All Voters
108,108,"Dr.R.S.M. Girls Higher Secondary School, No:126, Linghi Street, Muthaiyalpet, Chennai - 600001.",600001,1 - Muthaiyalpet Ward No 60 Lingi Street Door No ( 1 To 117 & 2 To 102 ),All Voters
109,109,"Corporation Community Centre, 3rd Lane, NorthBeach Road, Vallal Seethakathi Nagar, Chennai - 600001.",600001,1 - Muthaiyalpet Ward No 60 Ibrahim Street Door No ( 1 To 33 ) 2 - Muthaiyalpet Ward No 60 Ibrahim 2nd Street 3 - Muthaiyalpet Ward No 60 Ibrahim 1st Street,All Voters
110,110,"Measi Matriculation Higher Secondary School, No:113, Angappan Street, Vallal Seethakathi Nagar, Chennai -600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 North Beach 2nd Lane 2 - Vallal Seethakathi Nagar Ward No 60 Kandappan Street 3 - Vallal Seethakathi Nagar Ward No 60 North Beach 3rd Lane 4 - Vallal Seethakathi Nagar Ward No 60 Meer Ali Street,All Voters
111,111,"Measi Matriculation Higher Secondary School, (Backside Building Eastside room)No.113, Angappan Street, Vallal Seethakathi Nagar, Chennai -600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 Mettu Street 2 - Vallal Seethakathi Nagar Ward No 60 Mootaikaran Street 3 - Vallal Seethakathi Nagar Ward No 60 Appu Lane 4 - Vallal Seethakathi Nagar Ward No 60 Sulthan Street,All Voters
112,112,"Measi Matriculation Higher Secondary School, No:113, Angappan Street, Vallal Seethakathi Nagar, Chennai -600001.",600001,"1 - Vallal Seethakathi Nagar Ward No 60 Rajaji Salai 2 - Vallal Seethakathi Nagar Ward No 60 Gopal Street 3 - Vallal Seethakathi Nagar Ward No 60 Venkat Lingam Street 4 - Vallal Seethakathi Nagar Ward No 60 Krishnan Koil Street 5 - Vallal Seethakathi Nagar Ward No 60 Mannady Street Door No ( 1 To 9 & 2 To 20 ) 6 - Vallal Seethakathi Nagar Ward No 60 Erabalu Street 7 - Vallal Seethakathi Nagar Ward No 60 Mookar Nallamuthu Street Door No ( 1 To 5 & 2 To 12 ) 8 - Vallal Seethakathi Nagar Ward No 60 Jaffar Sarang Street 9 - Vallal Seethakathi Nagar Ward No 60 Berrar Street ""10 - Vallal Seethakathi Nagar Ward No 60 Narayanappa Street Door No ( 1 To 21 )""",All Voters
113,113,"Measi Matriculation Higher Secondary School, No:113, Angappan Street, Vallal Seethakathi Nagar, Chennai -600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 Adiyapatham Street 2 - Vallal Seethakathi Nagar Ward No 60 Jaffar Lane 3 - Vallal Seethakathi Nagar Ward No 60 Edkar Mosque Street,All Voters
114,114,"Measi Matriculation Higher Secondary School, (Backside Building Eastside room)No.113, Angappan Street, Vallal Seethakathi Nagar, Chennai -600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 Velayutham Street 2 - Vallal Seethakathi Nagar Ward No 60 Hussain Maraikkaiyar Street 4 - Vallal Seethakathi Nagar Ward No 60 Murthikal Lane 5 - Vallal Seethakathi Nagar Ward No 60 Spring Heaven Street 6 - Vallal Seethakathi Nagar Ward No 60 Jahangir Street 7 - Vallal Seethakathi Nagar Ward No 60 Varadarajan Street 8 - Vallal Seethakathi Nagar Ward No 60 Vada Maraikkaiyar Street 9 - Vallal Seethakathi Nagar Ward No 60 Subbu Street 10 - Vallal Seethakathi Nagar Ward No 60 Ayyasamy Street,All Voters
115,115,"Measi Matriculation Higher Secondary School, No:113, Angappan Street, Vallal Seethakathi Nagar, Chennai -600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 Marakaiyar Street,All Voters
116,116,"Measi Matriculation Higher Secondary School, (South side Shed) No.113, Angappan Street, Vallal Seethakathi Nagar, Chennai 600001",600001,1 - Vallal Seethakathi Nagar Ward No 60 Adam Street,All Voters
117,117,"Measi Matriculation Higher Secondary School, No:113, Angappan Street, Vallal Seethakathi Nagar, Chennai -600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 Moors Street,All Voters
118,118,"Measi Matriculation Higher Secondary School, No:113, Angappan Street, Vallal Seethakathi Nagar, Chennai -600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 Angappan Street Door No ( 1 To 59 & 2 To 58 ),All Voters
119,119,"Measi Matriculation Higher Secondary School, No:113, Angappan Street, Vallal Seethakathi Nagar, Chennai -600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 Angappan Street Door No ( 61 To 129 & 62 To 130 ),All Voters
120,120,"Measi Matriculation Higher Secondary School, No:113, Angappan Street, Vallal Seethakathi Nagar, Chennai -600001.",600001,1 - Vallal Seethakathi Nagar Ward No 60 Angappan 1st Lane 2 - Vallal Seethakathi Nagar Ward No 60 Angappan Street Door No ( 131 To 260 ),All Voters
121,121,"Tamil Nadu Tourism Development Corporation, Fair Administrative Office, No:4, Kamarajar Salai, Chennai - 600009.",600009,1 - Katchaleeswarar Nagar Ward No 60 Annai Sathiya Nagar ( 14th Gate Street ) ( C- Part ) Door No(1 to 50),All Voters
122,122,"Muthaiyalpet Higher Secondary School, No:167, Thambu Street, Kachaleeswarar Nagar, Chennai - 600001.",600001,1 - Katchaleeswarar Nagar Ward No 60 Thambu Street Door No ( 159 To 329 & 184 To 348 ),All Voters
123,123,"Muthaiyalpet Higher Secondary School, No:167, Thambu Street, Kachaleeswarar Nagar, Chennai - 600001.",600001,1 - Katchaleeswarar Nagar Ward No 60 Lingi Street ( 199 To 339 & 148 To 312 ) 2 - Katchaleeswarar Nagar Ward No 60 Mannady Street Door No ( 11 To 59 & 22 To 82 ),All Voters
124,124,"C.S.I Anderson Day Girls and Boys Higher Secondary School, No:230, Thambu Street, Broadway, Chennai - 600001.",600001,1 - Broadway Ward No 60 Ayyappa Street 2 - Broadway Ward No 60 Venkata Street,All Voters
125,125,"Tamil Nadu Tourism Development Corporation, Fair Administrative Office, No:4, Kamarajar Salai, Chennai - 600009.",600009,1 - Katchaleeswarar Nagar Ward No 60 Kamarajar Salai Annai Sathiya Nagar ( B- Part ) Door No (1 to 50 ),All Voters
126,126,"Tamil Nadu Tourism Development Corporation, Fair Administrative Office, No:4, Kamarajar Salai, Chennai - 600009.",600009,1 - Katchaleeswarar Nagar Ward No 60 Harbour Quarters 2 - Katchaleeswarar Nagar Ward No 60 Chennai Port Trust Officer Quarters 3 - Katchaleeswarar Nagar Ward No 60 Navel Officers Quarters 4 - Katchaleeswarar Nagar Ward No 60 Navel Service Quarters 5 - Katchaleeswarar Nagar Ward No 60 Miltery Quarters 6 - Katchaleeswarar Nagar Ward No 60 Reserve Bank Quarters 7 - Katchaleeswarar Nagar Ward No 60 Annai Sathiya Nagar ( 14th Gate Street ) ( C- Part )(1 to 50 ) 8 - Katchaleeswarar Nagar Ward No 60 Kamarajar Salai Annai Sathiya Nagar ( B- Part )(1 to 50),All Voters
127,127,"St.Colombains Higher Secondary School, No:3, Mc. Leans Street, Kachaleeswarar Nagar, Chennai - 600001.",600001,1 - Katchaleeswarar Nagar Ward No 60 Mooker Nallamuthu Street Door No ( 7 To 25 & 14 To 34 ) 2 - Katchaleeswarar Nagar Ward No 60 Erabalu Street Door No ( 7 To 21 & 10 To 41 ) 3 - Katchaleeswarar Nagar Ward No 60 Armenian Street 999 - Overseas Elector,All Voters
128,128,St Colombains Higher Secondary School Main Building East Facing No 3 Mc Leans Street Kachaleeswarar Nagar Chennai 600001,600001,1 - Katchaleeswarar Nagar Ward No 60 Sembudoss Street 2 - Katchaleeswarar Nagar Ward No 60 Bakkers Street 3 - Katchaleeswarar Nagar Ward No 60 Kondi Street 4 - Katchaleeswarar Nagar Ward No 60 Francis Joseph Street,All Voters
129,129,"St.Marys Higher Secondary School, No:110, Aremenian Street, Kachaleeswarar Nagar, Chennai - 600001 .",600001,1 - Katchaleeswarar Nagar Ward No 60 Muthumari Street 2 - Katchaleeswarar Nagar Ward No 60 Post Office Street Door No ( 5 To 77 & 10 To 30 ) 3 - Katchaleeswarar Nagar Ward No 60 Katchaleeswarar Agraharam Street 4 - Katchaleeswarar Nagar Ward No 60 Katchaleeswarar Bagoda Lane 5 - Katchaleeswarar Nagar Ward No 60 N.S.C Bose Road,All Voters
130,130,"St.Colombains Higher Secondary School, No:3, Mc. Leans Street, Kachaleeswarar Nagar, Chennai - 600001.",600001,1 - Katchaleeswarar Nagar Ward No 60 Periyannan Street 2 - Katchaleeswarar Nagar Ward No 60 Singanna Street 3 - Katchaleeswarar Nagar Ward No 60 Vanniar Street 4 - Katchaleeswarar Nagar Ward No 60 Maclean Street 5 - Katchaleeswarar Nagar Ward No 60 Philps Street 6 - Katchaleeswarar Nagar Ward No 60 Sunkurama Street,All Voters
131,131,"Muthialpet Higher Secondary School, No.167, Thambu Street, Kachaleeswarar Nagar, Chennai - 600001.",600001,1 - Katchaleeswarar Nagar Ward No 60 Jones Street & Lane,All Voters
132,132,"Hindu Theological Higher Secondary School, No:284, Aadhiyappan Street, Mint Road Chennai - 600001.",600001,1 - Thangasalai Ward No 57 Thatha Muthaiyappan Street 2 - Thangasalai Ward No 57 Somasundaram Street 999 - Overseas Elector,All Voters
133,133,"Hindu Theological Higher Secondary School, No:284, Aadhiyappan Street, Mint Road Chennai - 600001.",600001,1 - Thangasalai Ward No 57 Arumugam Street 2 - Thangasalai Ward No 57 Ramakrishnan Street,All Voters
134,134,"Hindu Theological Higher Secondary School, No:284, Aadhiyappan Street, Mint Road Chennai - 600001.",600001,1 - Thangasalai Ward No 57 Thangasalai Street Door No ( 217 To 353 & 238 To 366 ) 2 - Thangasalai Ward No 57 Karuppanan Street,All Voters
135,135,"Sri Kanniga Parameshwari Womens Arts and Science College, No:1, Aadhiyappa Street, Sowcarpet, Chennai - 600001.",600001,1 - Sowcarpet Ward No 57 Godown Street 2 - Sowcarpet Ward No 57 Periya Thandi Street 3 - Sowcarpet Ward No 57 Bander Street 4 - Sowcarpet Ward No 57 Kandappan Street,All Voters
136,136,"Sri Kanniga Parameshwari Womens Arts and Science College,(South Block) No.1, Aadhiyappa Street, Sowcarpet, Chennai - 600001.",600001,1 - Sowcarpet Ward No 57 Stringer Street 2 - Sowcarpet Ward No 57 Acharappan Street Door No { 77 To 115 & 58 To 114 } 3 - Sowcarpet Ward No 57 Gosha Sahib Street,All Voters
137,137,"Sri Kanniga Parameshwari Womens Arts and Science College, No:1, Aadhiyappa Street, Sowcarpet, Chennai - 600001.",600001,1 - Sowcarpet Ward No 57 Acharappan Lane 2 - Sowcarpet Ward No 57 Anna Street,All Voters
138,138,"Sri Kanniga Parameshwari Womens Arts and Science College, No:1, Aadhiyappa Street, Sowcarpet, Chennai - 600001.",600001,1 - Sowcarpet Ward No 57 Andrason Street 2 - Sowcarpet Ward No 57 Varadha Muthiappan street Door No (91 To 151 & 86 To 136) 3 - Sowcarpet Ward No 57 Anumandrayan Kovil Street,All Voters
139,139,"Sri Kanniga Parameshwari Womens Arts and Science College, No:1, Aadhiyappa Street, Sowcarpet, Chennai - 600001.",600001,1 - Sowcarpet Ward No 57 Kumarappa Street 2 - Sowcarpet Ward No 57 Nattu Pillaiyar Koil Street Door No ( 87 To 93 & 86 To 102 ) 3 - Sowcarpet Ward No 57 Seenu Street 4 - Sowcarpet Ward No 57 Manikandan Street,All Voters
140,140,"K.T.C.T. Girls Higher Secondary School, No:9, Narayana Street,Sowcarpet, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Adiyappan Street,All Voters
141,141,K T C T Girls Higher Secondary School (North Side Room) No 9 Narayana Street Sowcarpet Chennai 600079,600079,1 - Sowcarpet Ward No 57 Strotan Muthiah street 2 - Sowcarpet Ward No 57 Kasi street,All Voters
142,142,"K.T.C.T. Girls Higher Secondary School, No:9, Narayana Street,Sowcarpet, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Perumal street 2 - Sowcarpet Ward No 57 Chinna Thambi Street,All Voters
143,143,"K.T.C.T. Girls Higher Secondary School, No:9, Narayana Street,Sowcarpet, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Narayannan Street,All Voters
144,144,"K.T.C.T. Girls Higher Secondary School, No:9, Narayana Street,Sowcarpet, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Munniyappan Street 2 - Sowcarpet Ward No 57 Krishnan Street 3 - Sowcarpet Ward No 57 Thambu street 4 - Sowcarpet Ward No 57 Suburaya Lane 5 - Sowcarpet Ward No 57 Narayannan Lane 6 - Sowcarpet Ward No 57 Kasi Lane 7 - Sowcarpet Ward No 57 Balasubrayan Lane 8 - Sowcarpet Ward No 57 Theradi Lane 9 - Sowcarpet Ward No 57 Reddy Raman Street,All Voters
145,145,"S K P D Boys Higher Secondary School, No:223, Govindappan Street, Sowcarpet, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Govindappa Street,All Voters
146,146,"S K P D Boys Higher Secondary School, No:223, Govindappan Street, Sowcarpet, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Badriyan Street 2 - Sowcarpet Ward No 57 Sunguwar Agaharam Street 3 - Sowcarpet Ward No 57 Malaiya Perumal Street,All Voters
147,147,"Balvadi Building, No:27, Davidson Street, Sowcarpet, Chennai - 600001.",600001,1 - Sowcarpet Ward No 57 Prakasam Salai Door No ( 96 To 229 ) 2 - Sowcarpet Ward No 57 Lones Street 3 - Sowcarpet Ward No 57 Davidson Street,All Voters
148,148,"Sri Kanniga Parameshwari Womens Arts and Science College, No.1, Aadhiyappa Street, Sowcarpet, Chennai - 600001",600001,1 - Sowcarpet Ward No 57 Chinnathambi Street 2 - Sowcarpet Ward No 57 Ambarson street,All Voters
149,149,"Chennai High School, No:143, V.O.C Salai, Sowcarpet, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Venkatarayan Street 2 - Sowcarpet Ward No 57 Badriyan Garden Street 3 - Sowcarpet Ward No 57 Ponnappan Lane 4 - Sowcarpet Ward No 57 Elakandappan Street 5 - Sowcarpet Ward No 57 Venkatasamy Lane 6 - Sowcarpet Ward No 57 Hussan Street 7 - Sowcarpet Ward No 57 Venkata Lane 8 - Sowcarpet Ward No 57 Badriyan Garden Lane,All Voters
150,150,"Commercial Tax Office No.32,Elephant Gate Bridge,Vepery Road ,Park town, Chennai-600003.",600003,1 - Sowcarpet Ward No 57 Kalyanapuram Main Street & 1st Street 2 - Sowcarpet Ward No 57 Kalyanapuram 2nd Street 3 - Sowcarpet Ward No 57 Kalyanapuram 3rd Street,All Voters
151,151,"Commercial Tax Office No.32,Elephant Gate Bridge,Vepery Road ,Park town, Chennai-600003.",600003,1 - Sowcarpet Ward No 57 Kalyanapuram 4th Street 2 - Sowcarpet Ward No 57 Kalyanapuram 5th Street 3 - Sowcarpet Ward No 57 Kalyanapuram 6th Street 4 - Sowcarpet Ward No 57 Kalyanapuram 7th Street,All Voters
152,152,"Commercial Tax Office No.32,Elephant Gate Bridge,Vepery Road ,Park town, Chennai-600003.",600003,1 - Sowcarpet Ward No 57 Jutka Puram Street 2 - Sowcarpet Ward No 57 Kalyanapuram 8th Street 3 - Sowcarpet Ward No 57 Kalyanapuram 9th Street 4 - Sowcarpet Ward No 57 Kalyanapuram 10th Street 5 - Sowcarpet Ward No 57 Kalyanapuram Cross Street,All Voters
153,153,"Commercial Tax Office No.32,Elephant Gate Bridge,Vepery Road ,Park town, Chennai-600003.",600003,1 - Sowcarpet Ward No 57 V.O.C Salai Kalyanapuram 2 - Sowcarpet Ward No 57 Railway Police Quarters Elephant Gate Bridge Road 3 - Sowcarpet Ward No 57 Adi Andra Colony Kalyanapurm 4 - Sowcarpet Ward No 57 Railway Quarters Elephant Gate Bridge Road 5 - Sowcarpet Ward No 57 Railway Quarters Kalyanapuram V.O.C Salai 6 - Sowcarpet Ward No 57 Railway Staff Quarters V.O.C Salai 7 - Sowcarpet Ward No 57 Railway Quarters & Pallam Part,All Voters
154,154,"Sri.A.G Jain Higher Secondary School, New No 17,Tulasingam Street, Elephantgate, Chennai-600079.",600079,1 - Sowcarpet Ward No 57 Veerappan Street 2 - Sowcarpet Ward No 57 Chinna Neickaran Street 3 - Sowcarpet Ward No 57 Periya Neickaran Street 4 - Sowcarpet Ward No 57 Thulasingam Street 5 - Sowcarpet Ward No 57 Thulasingam 1st Lane 999 - Overseas Elector,All Voters
155,155,"Sri Badalchand Sayarchand Chordia Jain Vidyalaya Matriculation School, No 19, General Muthiah Street, Elephantgate, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 N.S.C Bose Road Door No ( 91 To 191 & 214 To 286 ) 2 - Sowcarpet Ward No 57 General Muthiah Street,All Voters
156,156,"Sri Badalchand Sayarchand Chordia Jain Vidyalaya Matriculation School, No 19, General Muthiah Street, Elephantgate, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Irulappan Street 999 - Overseas Elector,All Voters
157,157,"C. S. I. (GM) Middle School, No 24, General Muthiah Street, Elephantgate, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Kalathi Street 2 - Sowcarpet Ward No 57 Managappan Street 3 - Sowcarpet Ward No 57 Hanumandharayan Koil Lane,All Voters
158,158,"C S I GM Middle School No 24 General Muthiah Street, Elephantgate, Chennai 600079",600079,1 - Sowcarpet Ward No 57 Krishnappa Street 2 - Badri Veera Samy Lane 3 - Sowcarpet Ward No 57 Narasinga Dasari Lane 4 - Sowcarpet Ward No 57 Kandappa Street,All Voters
159,159,"Moongibai Goenka Girls Higher Secondary School, No1-3, Ramanujar Street,Elephantgate, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Vinayagam Street 2 - Sowcarpet Ward No 57 Ramanujam Street 3 - Sowcarpet Ward No 57 Elephant Gate Street 4 - Sowcarpet Ward No 57 Palliappan Lane,All Voters
160,160,"Moongibai Goenka Girls Higher Secondary School, No1-3, Ramanujar Street,Elephantgate, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Adiappan Street Door No { 67 To 127 & 80 To 168 },All Voters
161,161,"The Madras Progresssive Union Higher Secondary School, No:94, Adhiyappan Street, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Palliappan Street 2 - Sowcarpet Ward No 57 Chandrappa Street,All Voters
162,162,"The Madras Progresssive Union Higher Secondary School, No:94, Adhiyappan Street, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Travllian Basin Street East 2 - Sowcarpet Ward No 57 Travllian Basin Street ( South ) 3 - Sowcarpet Ward No 57 Bommuliar Street 4 - Sowcarpet Ward No 57 Ramanan Street,All Voters
163,163,"The Madras Progresssive Union Higher Secondary School, No:94, Adhiyappan Street, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Vaikunda Vathiar Street 2 - Sowcarpet Ward No 57 Murugappan Street 3 - Sowcarpet Ward No 57 V.O.C Salai Door No ( 145 To 225 & 46 To 270 ) 4 - Sowcarpet Ward No 57 Iyya Street 999 - Overseas Elector,All Voters
164,164,"Chennai High School, No:143, V.O.C Salai, Sowcarpet, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Kalyanapuram Tamilnadu Urban Habitat Development Borad Quarters ' A ' Block 2 - Sowcarpet Ward No 57 Kalyanapuram Tamilnadu Urban Habitat Development Borad Quarters ' B ' Block 3 - Sowcarpet Ward No 57 Kalyanapuram Tamilnadu Urban Habitat Development Borad Quarters ' C ' Block 4 - Sowcarpet Ward No 57 Kalyanapuram Tamilnadu Urban Habitat Development Borad Quarters ' D ' Block 5 - Sowcarpet Ward No 57 Kalyanapuram Tamilnadu Urban Habitat Development Borad Quarters ' E ' Block,All Voters
165,165,"Chennai High School, No:143, V.O.C Salai, Sowcarpet, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Kalyanapuram Tamilnadu Urban Habitat Development Borad Quarters ' F ' Block 2 - Sowcarpet Ward No 57 Kalyanapuram Tamilnadu Urban Habitat Development Borad Quarters ' G ' Block 3 - Sowcarpet Ward No 57 Kalyanapuram Tamilnadu Urban Habitat Development Borad Quarters ' H ' Block,All Voters
166,166,"Chennai High School, No:143, V.O.C Salai, Sowcarpet, Chennai - 600079.",600079,1 - Sowcarpet Ward No 57 Anna Street New Door No ( 109 To 139 & 156 To 260 ),All Voters
167,167,"Chennai Middle School, No:505, Mint Street, Edapalayam, Chennai - 600003.",600003,1 - Park Town Ward No 59 Sir.Muthusamy Bridge Road 2 - Park Town Ward No 59 Thanjai Murugappa Street 3 - Park Town Ward No 59 V.O.C Salai,All Voters
168,168,"Chennai Middle School, No:505, Mint Street, Edapalayam, Chennai - 600003.",600003,1 - Park Town Ward No 59 Jensan Street 2 - Park Town Ward No 59 Kuzhandai Street 3 - Park Town Ward No 59 Antonty Street 4 - Park Town Ward No 59 Peraiyra Street 5 - Park Town Ward No 59 Venku Lane 6 - Park Town Ward No 59 Venku Street 7 - Park Town Ward No 59 Memorial Hall Road 8 - Park Town Ward No 59 Stringer Street 9 - Park Town Ward No 59 Isaq Street 10 - Park Town Ward No 59 South Ardinans Line 11 - Park Town Ward No 59 Mannar Street 12 - Park Town Ward No 59 Bommu Street,All Voters
169,169,"Sri Muthukumaraswamy Devasthanam Hindu Higher Secondary School, No:34, Ponnappa Street, Edapalayam, Chennai - 600003.",600003,1 - Park Town Ward No 59 Dhanappa Street 2 - Park Town Ward No 59 Rasappa Street 3 - Park Town Ward No 59 Bangaramman Street 4 - Park Town Ward No 59 Subbu Street,All Voters
170,170,"Sri Muthukumaraswamy Devasthanam Hindu Higher Secondary School, No:34, Ponnappa Street, Edapalayam, Chennai - 600003.",600003,1 - Park Town Ward No 59 Ponnappa Street,All Voters
171,171,"Sri Manilal M. Metha Girls Higher Secondary School, No:1, Ravanaiyar Street, Edapalayam, Chennai - 600003.",600003,1 - Park Town Ward No 59 Ravanaiah Street 2 - Park Town Ward No 59 Kesaviah Street 3 - Park Town Ward No 59 Pillaiyar Koil Street 4 - Park Town Ward No 59 Varadharaja Lane 5 - Park Town Ward No 59 Amman Koil Street 6 - Park Town Ward No 59 Sivaraman Street 7 - Park Town Ward No 59 Annamalai Lane 8 - Park Town Ward No 59 Peddu Street 9 - Park Town Ward No 59 Amarking Lala Street,All Voters
172,172,"Sri Manilal M. Metha Girls Higher Secondary School, No:1, Ravanaiyar Street, Edapalayam, Chennai - 600003.",600003,1 - Park Town Ward No 59 Kalappa Street 2 - Park Town Ward No 59 Nainiappa Maistry Street 3 - Park Town Ward No 59 Thirumalai Lane 4 - Park Town Ward No 59 Paramasivam Street,All Voters
173,173,"Park Town Mission High School.No.42,Ponnappa Street,ParkTown,Chennai-600003",600003,1 - Park Town Ward No 59 Mint Street,All Voters
174,174,"Ab Parekh Gujarati Vidya mandir Hr. Sec.School, No.19 EK Agraharam Street,ParkTown Chennai-600003.",600003,1 - Park Town Ward No 59 Egambarareswarar Agraharam Street,All Voters
175,175,"Shri Shuddha Dwaita Vaishnav Higher Secondary School, No:19, Ekambaraeswarar Agraharam Street, Edapalayam, Chennai - 600003.",600003,1 - Park Town Ward No 59 Edapalayam Street 2 - Park Town Ward No 59 Singannan Street 3 - Park Town Ward No 59 Anumandrayan Koil Street,All Voters
176,176,"Shri Shuddha Dwaita Vaishnav Higher Secondary School, No:19, Ekambaraeswarar Agraharam Street, Edapalayam, Chennai - 600003.",600003,1 - Park Town Ward No 59 Nannaian Street 2 - Park Town Ward No 59 Edapalayam Lane 3 - Park Town Ward No 59 Samudhra Mudali Street,All Voters
