station_no,SAMARAN,DAYANIDHI MARAN,B. PARTHASARATHY,VINOJ,M.L.RAVI,C.S.KARNAN,Dr.R.KARTHIKEYAN,K.CHANDRASEKAR,SENTHILKUMAR,A.SELVA KUMAR,DILAVAR ALI,AGNI AALVAR,P.ARJUNAN,ANBAZHAGAN G,UDAYA KUMAR V,G.OMPRAKASH,S.KANDASAMY,L.KASINATHAN,S.SATHISH KUMAR,S.SATHISH KUMAR,DHAYANIDHI SURESH,V.V.TAMILARASAN,M.NAGARAJ,J.NAGARAJ,B.PARTHASARATHY,MANJUNATHA.R,R.MINNAL RAJ,RANJITHKUMAR.S,RAVI BALARAMAN,N.RAMAN,R.VIJAY,total_valid,nota,total
108,0,434,16,8,0,0,6,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,470,4,474
109,2,372,11,10,0,0,13,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,413,3,417
110,6,449,152,56,1,3,83,1,0,1,4,1,1,5,0,2,0,2,0,0,2,1,0,1,1,0,0,0,0,1,0,773,6,780
111,1,230,18,88,1,0,19,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,4,365
112,0,446,22,33,0,0,30,0,0,0,8,2,1,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,549,6,556
113,0,467,28,70,0,0,26,0,1,0,1,0,0,1,2,0,0,2,1,1,1,1,0,0,1,0,0,0,0,0,0,603,11,613
114,8,447,148,57,1,1,75,0,0,0,3,2,4,6,10,3,2,10,1,1,3,2,1,0,1,1,2,0,0,3,1,793,8,807
115,0,93,9,28,0,0,15,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,149,3,151
116,3,594,62,61,0,2,39,0,0,0,2,1,0,8,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,777,10,787
117,0,446,15,91,0,0,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,571,10,581
118,4,466,35,50,0,0,18,1,0,0,1,1,1,4,1,1,2,4,0,0,0,1,0,1,1,0,1,0,1,0,0,594,6,601
119,1,224,4,5,0,0,8,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,248,3,251
120,0,184,19,285,0,0,9,0,0,0,1,1,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,0,509,8,517
121,0,149,6,321,1,1,5,0,0,1,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,493,5,500
122,2,102,9,363,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,491,3,494
123,4,378,73,147,0,0,26,0,0,0,2,1,1,4,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,644,6,649
124,1,186,17,359,0,1,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,579,10,589
125,2,229,10,351,1,0,8,0,0,0,0,0,0,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,610,3,612
126,1,118,14,255,1,0,7,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,404,7,412
127,2,112,17,383,1,1,7,3,0,0,0,2,0,0,0,2,1,1,3,3,0,0,0,0,1,0,0,0,0,2,0,541,5,543
128,0,175,9,293,2,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,486,4,491
