booth_number,pdf_file,18-21_Male,18-21_Female,18-21_Total,18-21_Male%,18-21_Female%,18-21_of_Booth%,22-29_Male,22-29_Female,22-29_Total,22-29_Male%,22-29_Female%,22-29_of_Booth%,30-39_Male,30-39_Female,30-39_Total,30-39_Male%,30-39_Female%,30-39_of_Booth%,40-49_Male,40-49_Female,40-49_Total,40-49_Male%,40-49_Female%,40-49_of_Booth%,50-59_Male,50-59_Female,50-59_Total,50-59_Male%,50-59_Female%,50-59_of_Booth%,60-69_Male,60-69_Female,60-69_Total,60-69_Male%,60-69_Female%,60-69_of_Booth%,70+_Male,70+_Female,70+_Total,70+_Male%,70+_Female%,70+_of_Booth%,Booth_Total_Male,Booth_Total_Female,Booth_Total_Other,Booth_Total,Booth_Male%,Booth_Female%
1,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-1-WI.pdf,14,12,26,53.8,46.2,4.6,38,47,85,44.7,55.3,15.1,45,56,101,44.6,55.4,17.9,69,75,144,47.9,52.1,25.6,58,54,112,51.8,48.2,19.9,34,27,61,55.7,44.3,10.8,20,14,34,58.8,41.2,6.0,278,285,0,563,49.4,50.6
2,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-2-WI.pdf,13,16,29,44.8,55.2,4.0,49,56,105,46.7,53.3,14.6,65,74,139,46.8,53.2,19.3,92,95,187,49.2,50.8,26.0,80,58,138,58.0,42.0,19.2,39,34,73,53.4,46.6,10.2,21,27,48,43.8,56.2,6.7,359,360,0,719,49.9,50.1
3,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-3-WI.pdf,9,8,17,52.9,47.1,3.2,43,33,76,56.6,43.4,14.2,53,52,105,50.5,49.5,19.7,67,60,127,52.8,47.2,23.8,53,40,93,57.0,43.0,17.4,34,39,73,46.6,53.4,13.7,19,24,43,44.2,55.8,8.1,278,256,0,534,52.1,47.9
4,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-4-WI.pdf,5,7,12,41.7,58.3,3.3,21,20,41,51.2,48.8,11.3,28,37,65,43.1,56.9,17.9,37,46,83,44.6,55.4,22.9,38,42,80,47.5,52.5,22.0,31,24,55,56.4,43.6,15.2,11,16,27,40.7,59.3,7.4,171,192,0,363,47.1,52.9
5,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-5-WI.pdf,6,6,12,50.0,50.0,2.0,44,34,78,56.4,43.6,12.8,62,66,128,48.4,51.6,21.1,61,68,129,47.3,52.7,21.2,80,64,144,55.6,44.4,23.7,41,31,72,56.9,43.1,11.8,22,23,45,48.9,51.1,7.4,316,292,0,608,52.0,48.0
6,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-6-WI.pdf,11,13,24,45.8,54.2,2.6,71,50,121,58.7,41.3,13.0,106,96,202,52.5,47.5,21.7,118,105,223,52.9,47.1,24.0,74,90,164,45.1,54.9,17.6,61,61,122,50.0,50.0,13.1,39,36,75,52.0,48.0,8.1,480,451,0,931,51.6,48.4
7,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-7-WI.pdf,10,7,17,58.8,41.2,3.4,36,41,77,46.8,53.2,15.5,45,42,87,51.7,48.3,17.5,40,47,87,46.0,54.0,17.5,64,61,125,51.2,48.8,25.1,35,26,61,57.4,42.6,12.2,21,23,44,47.7,52.3,8.8,251,247,0,498,50.4,49.6
8,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-8-WI.pdf,5,4,9,55.6,44.4,2.0,27,31,58,46.6,53.4,12.9,40,53,93,43.0,57.0,20.7,49,56,105,46.7,53.3,23.3,48,42,90,53.3,46.7,20.0,24,34,58,41.4,58.6,12.9,23,14,37,62.2,37.8,8.2,216,234,0,450,48.0,52.0
9,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-9-WI.pdf,16,12,28,57.1,42.9,4.3,48,52,100,48.0,52.0,15.5,59,51,110,53.6,46.4,17.1,80,95,175,45.7,54.3,27.1,67,57,124,54.0,46.0,19.2,40,31,71,56.3,43.7,11.0,14,23,37,37.8,62.2,5.7,324,321,0,645,50.2,49.8
10,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-10-WI.pdf,9,11,20,45.0,55.0,3.2,43,40,83,51.8,48.2,13.3,62,68,130,47.7,52.3,20.8,71,72,143,49.7,50.3,22.8,57,58,115,49.6,50.4,18.4,38,41,79,48.1,51.9,12.6,22,34,56,39.3,60.7,8.9,302,324,0,626,48.2,51.8
11,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-11-WI.pdf,13,10,23,56.5,43.5,3.9,49,40,89,55.1,44.9,15.0,65,55,120,54.2,45.8,20.2,66,80,146,45.2,54.8,24.6,60,50,110,54.5,45.5,18.5,42,30,72,58.3,41.7,12.1,16,17,33,48.5,51.5,5.6,311,282,0,593,52.4,47.6
12,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-12-WI.pdf,3,11,14,21.4,78.6,2.7,55,39,94,58.5,41.5,18.0,40,65,105,38.1,61.9,20.1,52,55,107,48.6,51.4,20.5,60,53,113,53.1,46.9,21.6,36,27,63,57.1,42.9,12.0,17,10,27,63.0,37.0,5.2,263,260,0,523,50.3,49.7
13,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-13-WI.pdf,9,15,24,37.5,62.5,4.3,43,41,84,51.2,48.8,15.0,42,38,80,52.5,47.5,14.3,52,72,124,41.9,58.1,22.2,74,44,118,62.7,37.3,21.1,34,32,66,51.5,48.5,11.8,34,29,63,54.0,46.0,11.3,288,271,0,559,51.5,48.5
14,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-14-WI.pdf,8,15,23,34.8,65.2,3.9,27,30,57,47.4,52.6,9.6,74,59,133,55.6,44.4,22.5,83,63,146,56.8,43.2,24.7,55,70,125,44.0,56.0,21.1,34,30,64,53.1,46.9,10.8,19,25,44,43.2,56.8,7.4,300,292,0,592,50.7,49.3
15,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-15-WI.pdf,8,15,23,34.8,65.2,4.4,39,33,72,54.2,45.8,13.6,55,51,106,51.9,48.1,20.1,64,68,132,48.5,51.5,25.0,57,52,109,52.3,47.7,20.6,37,21,58,63.8,36.2,11.0,14,14,28,50.0,50.0,5.3,274,254,0,528,51.9,48.1
16,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-16-WI.pdf,4,8,12,33.3,66.7,2.8,33,25,58,56.9,43.1,13.6,55,47,102,53.9,46.1,23.9,43,47,90,47.8,52.2,21.1,44,44,88,50.0,50.0,20.7,38,21,59,64.4,35.6,13.8,7,10,17,41.2,58.8,4.0,224,202,0,426,52.6,47.4
17,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-17-WI.pdf,9,7,16,56.2,43.8,3.6,39,25,64,60.9,39.1,14.3,49,49,98,50.0,50.0,21.9,56,47,103,54.4,45.6,23.0,36,38,74,48.6,51.4,16.6,33,23,56,58.9,41.1,12.5,14,22,36,38.9,61.1,8.1,236,211,0,447,52.8,47.2
18,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-18-WI.pdf,7,5,12,58.3,41.7,3.5,33,13,46,71.7,28.3,13.5,33,27,60,55.0,45.0,17.5,43,45,88,48.9,51.1,25.7,37,41,78,47.4,52.6,22.8,24,13,37,64.9,35.1,10.8,10,11,21,47.6,52.4,6.1,187,155,0,342,54.7,45.3
19,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-19-WI.pdf,9,5,14,64.3,35.7,3.2,33,24,57,57.9,42.1,12.9,46,28,74,62.2,37.8,16.7,57,54,111,51.4,48.6,25.1,52,46,98,53.1,46.9,22.2,28,16,44,63.6,36.4,10.0,19,25,44,43.2,56.8,10.0,244,198,0,442,55.2,44.8
20,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-20-WI.pdf,3,5,8,37.5,62.5,2.8,20,20,40,50.0,50.0,14.1,19,17,36,52.8,47.2,12.7,38,36,74,51.4,48.6,26.1,37,31,68,54.4,45.6,23.9,22,16,38,57.9,42.1,13.4,10,10,20,50.0,50.0,7.0,149,135,0,284,52.5,47.5
21,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-21-WI.pdf,15,24,39,38.5,61.5,5.8,61,60,121,50.4,49.6,18.1,57,74,131,43.5,56.5,19.6,71,104,175,40.6,59.4,26.2,63,71,134,47.0,53.0,20.0,33,21,54,61.1,38.9,8.1,3,12,15,20.0,80.0,2.2,303,366,0,669,45.3,54.7
22,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-22-WI.pdf,7,5,12,58.3,41.7,3.1,35,32,67,52.2,47.8,17.4,33,30,63,52.4,47.6,16.4,50,42,92,54.3,45.7,23.9,41,39,80,51.2,48.8,20.8,23,24,47,48.9,51.1,12.2,14,10,24,58.3,41.7,6.2,203,182,0,385,52.7,47.3
23,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-23-WI.pdf,18,15,33,54.5,45.5,5.1,55,46,101,54.5,45.5,15.5,54,70,124,43.5,56.5,19.0,75,94,169,44.4,55.6,25.9,53,62,115,46.1,53.9,17.6,26,38,64,40.6,59.4,9.8,22,24,46,47.8,52.2,7.1,303,349,0,652,46.5,53.5
24,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-24-WI.pdf,7,13,20,35.0,65.0,3.3,48,42,90,53.3,46.7,15.0,58,56,114,50.9,49.1,18.9,70,79,149,47.0,53.0,24.8,54,54,108,50.0,50.0,17.9,46,40,86,53.5,46.5,14.3,18,17,35,51.4,48.6,5.8,301,301,0,602,50.0,50.0
25,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-25-WI.pdf,9,20,29,31.0,69.0,5.1,52,40,92,56.5,43.5,16.3,53,51,104,51.0,49.0,18.4,61,80,141,43.3,56.7,25.0,63,49,112,56.2,43.8,19.8,24,27,51,47.1,52.9,9.0,16,20,36,44.4,55.6,6.4,278,287,0,565,49.2,50.8
26,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-26-WI.pdf,10,10,20,50.0,50.0,3.4,35,31,66,53.0,47.0,11.3,68,66,134,50.7,49.3,23.0,62,64,126,49.2,50.8,21.6,53,59,112,47.3,52.7,19.2,38,34,72,52.8,47.2,12.4,25,27,52,48.1,51.9,8.9,291,291,0,582,50.0,50.0
27,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-27-WI.pdf,11,10,21,52.4,47.6,3.6,41,30,71,57.7,42.3,12.2,51,62,113,45.1,54.9,19.5,80,65,145,55.2,44.8,25.0,53,68,121,43.8,56.2,20.9,41,34,75,54.7,45.3,12.9,21,13,34,61.8,38.2,5.9,298,282,0,580,51.4,48.6
28,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-28-WI.pdf,9,11,20,45.0,55.0,3.3,30,32,62,48.4,51.6,10.2,73,87,160,45.6,54.4,26.4,68,81,149,45.6,54.4,24.6,59,57,116,50.9,49.1,19.2,41,28,69,59.4,40.6,11.4,11,18,29,37.9,62.1,4.8,291,314,0,605,48.1,51.9
29,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-29-WI.pdf,14,15,29,48.3,51.7,4.1,54,46,100,54.0,46.0,14.0,76,69,145,52.4,47.6,20.3,92,98,190,48.4,51.6,26.6,59,60,119,49.6,50.4,16.7,44,44,88,50.0,50.0,12.3,22,21,43,51.2,48.8,6.0,361,353,0,714,50.6,49.4
30,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-30-WI.pdf,11,13,24,45.8,54.2,3.8,34,44,78,43.6,56.4,12.5,65,56,121,53.7,46.3,19.4,82,89,171,48.0,52.0,27.4,68,62,130,52.3,47.7,20.8,34,28,62,54.8,45.2,9.9,21,17,38,55.3,44.7,6.1,315,309,0,624,50.5,49.5
31,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-31-WI.pdf,10,19,29,34.5,65.5,3.6,62,68,130,47.7,52.3,16.3,76,96,172,44.2,55.8,21.6,83,93,176,47.2,52.8,22.1,68,96,164,41.5,58.5,20.6,41,43,84,48.8,51.2,10.5,19,23,42,45.2,54.8,5.3,359,438,0,797,45.0,55.0
32,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-32-WI.pdf,11,9,20,55.0,45.0,2.1,42,54,96,43.8,56.2,10.1,155,137,292,53.1,46.9,30.8,154,162,316,48.7,51.3,33.4,71,73,144,49.3,50.7,15.2,25,40,65,38.5,61.5,6.9,6,8,14,42.9,57.1,1.5,464,483,0,947,49.0,51.0
33,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-33-WI.pdf,13,18,31,41.9,58.1,5.3,38,50,88,43.2,56.8,15.2,73,58,131,55.7,44.3,22.6,63,67,130,48.5,51.5,22.4,44,51,95,46.3,53.7,16.4,40,34,74,54.1,45.9,12.8,15,16,31,48.4,51.6,5.3,286,294,0,580,49.3,50.7
34,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-34-WI.pdf,16,20,36,44.4,55.6,4.4,87,90,177,49.2,50.8,21.5,96,90,186,51.6,48.4,22.6,88,109,197,44.7,55.3,24.0,47,58,105,44.8,55.2,12.8,44,43,87,50.6,49.4,10.6,13,21,34,38.2,61.8,4.1,391,431,0,822,47.6,52.4
35,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-35-WI.pdf,9,8,17,52.9,47.1,2.8,36,50,86,41.9,58.1,14.0,63,66,129,48.8,51.2,21.0,72,88,160,45.0,55.0,26.1,76,50,126,60.3,39.7,20.6,27,25,52,51.9,48.1,8.5,16,27,43,37.2,62.8,7.0,299,314,0,613,48.8,51.2
36,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-36-WI.pdf,10,7,17,58.8,41.2,3.3,34,40,74,45.9,54.1,14.1,72,66,138,52.2,47.8,26.4,58,51,109,53.2,46.8,20.8,34,45,79,43.0,57.0,15.1,35,31,66,53.0,47.0,12.6,19,21,40,47.5,52.5,7.6,262,261,0,523,50.1,49.9
37,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-37-WI.pdf,16,6,22,72.7,27.3,3.2,39,37,76,51.3,48.7,11.0,66,64,130,50.8,49.2,18.8,84,92,176,47.7,52.3,25.5,72,67,139,51.8,48.2,20.1,40,42,82,48.8,51.2,11.9,37,29,66,56.1,43.9,9.6,354,337,0,691,51.2,48.8
38,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-38-WI.pdf,9,7,16,56.2,43.8,2.8,52,35,87,59.8,40.2,15.2,51,54,105,48.6,51.4,18.3,67,69,136,49.3,50.7,23.7,64,63,127,50.4,49.6,22.1,37,27,64,57.8,42.2,11.1,25,14,39,64.1,35.9,6.8,305,269,0,574,53.1,46.9
39,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-39-WI.pdf,5,10,15,33.3,66.7,3.9,19,29,48,39.6,60.4,12.5,40,44,84,47.6,52.4,21.8,47,44,91,51.6,48.4,23.6,37,36,73,50.7,49.3,19.0,26,17,43,60.5,39.5,11.2,15,16,31,48.4,51.6,8.1,189,196,0,385,49.1,50.9
40,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-40-WI.pdf,13,10,23,56.5,43.5,4.4,32,34,66,48.5,51.5,12.8,60,40,100,60.0,40.0,19.3,45,54,99,45.5,54.5,19.1,56,73,129,43.4,56.6,25.0,33,23,56,58.9,41.1,10.8,21,23,44,47.7,52.3,8.5,260,257,0,517,50.3,49.7
41,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-41-WI.pdf,15,13,28,53.6,46.4,3.7,55,45,100,55.0,45.0,13.2,87,85,172,50.6,49.4,22.7,84,83,167,50.3,49.7,22.0,70,70,140,50.0,50.0,18.5,43,48,91,47.3,52.7,12.0,31,29,60,51.7,48.3,7.9,385,373,0,758,50.8,49.2
42,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-42-WI.pdf,24,13,37,64.9,35.1,6.5,32,39,71,45.1,54.9,12.4,58,46,104,55.8,44.2,18.2,72,64,136,52.9,47.1,23.7,68,66,134,50.7,49.3,23.4,33,27,60,55.0,45.0,10.5,16,15,31,51.6,48.4,5.4,303,270,0,573,52.9,47.1
43,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-43-WI.pdf,17,16,33,51.5,48.5,4.5,66,51,117,56.4,43.6,16.0,59,94,153,38.6,61.4,20.9,82,73,155,52.9,47.1,21.2,68,80,148,45.9,54.1,20.2,44,36,80,55.0,45.0,10.9,26,20,46,56.5,43.5,6.3,362,370,0,732,49.5,50.5
44,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-44-WI.pdf,15,16,31,48.4,51.6,4.0,57,72,129,44.2,55.8,16.8,68,67,135,50.4,49.6,17.6,77,97,174,44.3,55.7,22.7,77,84,161,47.8,52.2,21.0,54,47,101,53.5,46.5,13.2,18,19,37,48.6,51.4,4.8,366,402,0,768,47.7,52.3
45,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-45-WI.pdf,11,8,19,57.9,42.1,3.4,50,41,91,54.9,45.1,16.4,69,72,141,48.9,51.1,25.4,61,78,139,43.9,56.1,25.0,48,57,105,45.7,54.3,18.9,19,19,38,50.0,50.0,6.8,7,15,22,31.8,68.2,4.0,265,290,0,555,47.7,52.3
46,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-46-WI.pdf,14,14,28,50.0,50.0,4.0,59,41,100,59.0,41.0,14.2,65,58,123,52.8,47.2,17.5,58,84,142,40.8,59.2,20.2,74,82,156,47.4,52.6,22.2,46,43,89,51.7,48.3,12.7,26,39,65,40.0,60.0,9.2,342,361,0,703,48.6,51.4
47,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-47-WI.pdf,16,9,25,64.0,36.0,4.0,62,64,126,49.2,50.8,20.3,52,56,108,48.1,51.9,17.4,53,64,117,45.3,54.7,18.9,70,70,140,50.0,50.0,22.6,30,25,55,54.5,45.5,8.9,23,26,49,46.9,53.1,7.9,306,314,0,620,49.4,50.6
48,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-48-WI.pdf,11,4,15,73.3,26.7,2.6,49,31,80,61.3,38.8,14.0,51,50,101,50.5,49.5,17.7,65,63,128,50.8,49.2,22.5,55,66,121,45.5,54.5,21.2,40,42,82,48.8,51.2,14.4,22,21,43,51.2,48.8,7.5,293,277,0,570,51.4,48.6
49,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-49-WI.pdf,14,11,25,56.0,44.0,3.3,48,55,103,46.6,53.4,13.8,63,67,130,48.5,51.5,17.4,98,82,180,54.4,45.6,24.1,89,78,167,53.3,46.7,22.4,51,41,92,55.4,44.6,12.3,23,27,50,46.0,54.0,6.7,386,361,0,747,51.7,48.3
50,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-50-WI.pdf,12,9,21,57.1,42.9,3.1,52,50,102,51.0,49.0,15.0,75,70,145,51.7,48.3,21.3,72,76,148,48.6,51.4,21.7,77,74,151,51.0,49.0,22.2,40,29,69,58.0,42.0,10.1,22,23,45,48.9,51.1,6.6,350,331,0,681,51.4,48.6
51,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-51-WI.pdf,9,15,24,37.5,62.5,4.2,45,54,99,45.5,54.5,17.5,51,55,106,48.1,51.9,18.7,55,62,117,47.0,53.0,20.7,42,50,92,45.7,54.3,16.3,40,40,80,50.0,50.0,14.1,30,18,48,62.5,37.5,8.5,272,294,0,566,48.1,51.9
52,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-52-WI.pdf,5,6,11,45.5,54.5,3.2,30,23,53,56.6,43.4,15.6,36,32,68,52.9,47.1,20.0,35,45,80,43.8,56.2,23.5,36,39,75,48.0,52.0,22.1,24,14,38,63.2,36.8,11.2,6,9,15,40.0,60.0,4.4,172,168,0,340,50.6,49.4
53,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-53-WI.pdf,5,7,12,41.7,58.3,3.5,26,22,48,54.2,45.8,14.2,28,33,61,45.9,54.1,18.0,42,49,91,46.2,53.8,26.8,36,27,63,57.1,42.9,18.6,22,16,38,57.9,42.1,11.2,15,11,26,57.7,42.3,7.7,174,165,0,339,51.3,48.7
54,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-54-WI.pdf,10,10,20,50.0,50.0,3.4,40,35,75,53.3,46.7,12.6,57,80,137,41.6,58.4,22.9,80,70,150,53.3,46.7,25.1,47,50,97,48.5,51.5,16.2,33,41,74,44.6,55.4,12.4,28,16,44,63.6,36.4,7.4,295,302,0,597,49.4,50.6
55,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-55-WI.pdf,21,19,40,52.5,47.5,5.8,61,48,109,56.0,44.0,15.8,62,62,124,50.0,50.0,17.9,72,80,152,47.4,52.6,22.0,67,55,122,54.9,45.1,17.6,48,44,92,52.2,47.8,13.3,29,24,53,54.7,45.3,7.7,360,332,0,692,52.0,48.0
56,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-56-WI.pdf,9,8,17,52.9,47.1,3.6,37,32,69,53.6,46.4,14.6,35,36,71,49.3,50.7,15.0,61,50,111,55.0,45.0,23.5,53,37,90,58.9,41.1,19.0,33,34,67,49.3,50.7,14.2,27,21,48,56.2,43.8,10.1,255,218,0,473,53.9,46.1
57,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-57-WI.pdf,4,7,11,36.4,63.6,2.2,29,30,59,49.2,50.8,11.9,52,57,109,47.7,52.3,21.9,54,63,117,46.2,53.8,23.5,55,38,93,59.1,40.9,18.7,32,30,62,51.6,48.4,12.5,26,20,46,56.5,43.5,9.3,252,245,0,497,50.7,49.3
58,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-58-WI.pdf,13,8,21,61.9,38.1,3.0,47,47,94,50.0,50.0,13.3,88,63,151,58.3,41.7,21.3,83,111,194,42.8,57.2,27.4,81,76,157,51.6,48.4,22.2,43,28,71,60.6,39.4,10.0,8,12,20,40.0,60.0,2.8,363,345,0,708,51.3,48.7
59,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-59-WI.pdf,7,7,14,50.0,50.0,2.4,46,28,74,62.2,37.8,12.6,55,72,127,43.3,56.7,21.6,70,75,145,48.3,51.7,24.7,62,55,117,53.0,47.0,19.9,45,22,67,67.2,32.8,11.4,23,20,43,53.5,46.5,7.3,308,279,0,587,52.5,47.5
60,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-60-WI.pdf,12,14,26,46.2,53.8,3.3,55,51,106,51.9,48.1,13.5,88,80,168,52.4,47.6,21.4,83,104,187,44.4,55.6,23.8,87,74,161,54.0,46.0,20.5,50,42,92,54.3,45.7,11.7,23,22,45,51.1,48.9,5.7,398,387,0,785,50.7,49.3
61,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-61-WI.pdf,10,5,15,66.7,33.3,2.6,50,41,91,54.9,45.1,16.0,66,71,137,48.2,51.8,24.1,62,82,144,43.1,56.9,25.4,50,51,101,49.5,50.5,17.8,19,32,51,37.3,62.7,9.0,14,15,29,48.3,51.7,5.1,271,297,0,568,47.7,52.3
62,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-62-WI.pdf,11,16,27,40.7,59.3,4.4,62,29,91,68.1,31.9,14.7,69,54,123,56.1,43.9,19.9,63,71,134,47.0,53.0,21.7,64,56,120,53.3,46.7,19.4,42,44,86,48.8,51.2,13.9,14,22,36,38.9,61.1,5.8,325,292,0,617,52.7,47.3
63,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-63-WI.pdf,17,5,22,77.3,22.7,3.9,51,39,90,56.7,43.3,16.1,51,47,98,52.0,48.0,17.6,64,65,129,49.6,50.4,23.1,52,44,96,54.2,45.8,17.2,45,43,88,51.1,48.9,15.8,18,17,35,51.4,48.6,6.3,298,260,0,558,53.4,46.6
64,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-64-WI.pdf,7,7,14,50.0,50.0,2.5,37,34,71,52.1,47.9,12.7,46,60,106,43.4,56.6,18.9,62,59,121,51.2,48.8,21.6,59,56,115,51.3,48.7,20.5,40,37,77,51.9,48.1,13.8,25,31,56,44.6,55.4,10.0,276,284,0,560,49.3,50.7
65,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-65-WI.pdf,11,9,20,55.0,45.0,3.9,41,51,92,44.6,55.4,17.9,46,49,95,48.4,51.6,18.5,45,64,109,41.3,58.7,21.2,56,52,108,51.9,48.1,21.0,27,34,61,44.3,55.7,11.9,16,13,29,55.2,44.8,5.6,242,272,0,514,47.1,52.9
66,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-66-WI.pdf,13,19,32,40.6,59.4,4.8,60,45,105,57.1,42.9,15.8,72,70,142,50.7,49.3,21.4,71,82,153,46.4,53.6,23.0,67,62,129,51.9,48.1,19.4,39,32,71,54.9,45.1,10.7,15,18,33,45.5,54.5,5.0,337,328,0,665,50.7,49.3
67,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-67-WI.pdf,16,14,30,53.3,46.7,4.0,43,46,89,48.3,51.7,12.0,74,78,152,48.7,51.3,20.5,88,83,171,51.5,48.5,23.0,72,74,146,49.3,50.7,19.7,59,43,102,57.8,42.2,13.7,29,23,52,55.8,44.2,7.0,381,361,0,742,51.3,48.7
68,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-68-WI.pdf,15,10,25,60.0,40.0,4.4,44,39,83,53.0,47.0,14.7,55,56,111,49.5,50.5,19.6,58,82,140,41.4,58.6,24.7,70,45,115,60.9,39.1,20.3,31,23,54,57.4,42.6,9.5,20,18,38,52.6,47.4,6.7,293,273,0,566,51.8,48.2
69,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-69-WI.pdf,16,8,24,66.7,33.3,5.7,45,35,80,56.2,43.8,19.0,27,45,72,37.5,62.5,17.1,47,53,100,47.0,53.0,23.7,46,40,86,53.5,46.5,20.4,21,13,34,61.8,38.2,8.1,12,14,26,46.2,53.8,6.2,214,208,0,422,50.7,49.3
70,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-70-WI.pdf,14,14,28,50.0,50.0,4.1,51,41,92,55.4,44.6,13.4,62,81,143,43.4,56.6,20.9,84,86,170,49.4,50.6,24.8,65,67,132,49.2,50.8,19.3,48,43,91,52.7,47.3,13.3,20,9,29,69.0,31.0,4.2,344,341,0,685,50.2,49.8
