booth_number,pdf_file,18-21_Male,18-21_Female,18-21_Total,18-21_Male%,18-21_Female%,18-21_of_Booth%,22-29_Male,22-29_Female,22-29_Total,22-29_Male%,22-29_Female%,22-29_of_Booth%,30-39_Male,30-39_Female,30-39_Total,30-39_Male%,30-39_Female%,30-39_of_Booth%,40-49_Male,40-49_Female,40-49_Total,40-49_Male%,40-49_Female%,40-49_of_Booth%,50-59_Male,50-59_Female,50-59_Total,50-59_Male%,50-59_Female%,50-59_of_Booth%,60-69_Male,60-69_Female,60-69_Total,60-69_Male%,60-69_Female%,60-69_of_Booth%,70+_Male,70+_Female,70+_Total,70+_Male%,70+_Female%,70+_of_Booth%,Booth_Total_Male,Booth_Total_Female,Booth_Total_Other,Booth_Total,Booth_Male%,Booth_Female%
135,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-135-WI.pdf,18,8,26,69.2,30.8,5.1,38,36,74,51.4,48.6,14.4,38,59,97,39.2,60.8,18.9,52,59,111,46.8,53.2,21.6,53,52,105,50.5,49.5,20.5,46,26,72,63.9,36.1,14.0,11,17,28,39.3,60.7,5.5,256,257,0,513,49.9,50.1
136,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-136-WI.pdf,10,12,22,45.5,54.5,4.6,41,28,69,59.4,40.6,14.4,46,55,101,45.5,54.5,21.1,74,68,142,52.1,47.9,29.7,35,41,76,46.1,53.9,15.9,17,19,36,47.2,52.8,7.5,14,18,32,43.8,56.2,6.7,237,241,0,478,49.6,50.4
137,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-137-WI.pdf,8,8,16,50.0,50.0,3.0,48,46,94,51.1,48.9,17.6,60,49,109,55.0,45.0,20.4,61,57,118,51.7,48.3,22.1,49,53,102,48.0,52.0,19.1,36,23,59,61.0,39.0,11.0,21,16,37,56.8,43.2,6.9,283,252,0,535,52.9,47.1
138,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-138-WI.pdf,4,17,21,19.0,81.0,3.5,36,27,63,57.1,42.9,10.6,67,71,138,48.6,51.4,23.3,70,63,133,52.6,47.4,22.4,68,47,115,59.1,40.9,19.4,47,33,80,58.8,41.2,13.5,24,19,43,55.8,44.2,7.3,316,277,0,593,53.3,46.7
139,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-139-WI.pdf,13,12,25,52.0,48.0,4.7,38,33,71,53.5,46.5,13.4,58,36,94,61.7,38.3,17.7,66,67,133,49.6,50.4,25.1,51,50,101,50.5,49.5,19.1,39,33,72,54.2,45.8,13.6,18,16,34,52.9,47.1,6.4,283,247,0,530,53.4,46.6
140,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-140-WI.pdf,5,3,8,62.5,37.5,2.3,36,32,68,52.9,47.1,19.8,42,32,74,56.8,43.2,21.6,33,32,65,50.8,49.2,19.0,33,32,65,50.8,49.2,19.0,22,19,41,53.7,46.3,12.0,13,9,22,59.1,40.9,6.4,184,159,0,343,53.6,46.4
141,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-141-WI.pdf,8,6,14,57.1,42.9,3.4,25,19,44,56.8,43.2,10.8,48,44,92,52.2,47.8,22.5,52,42,94,55.3,44.7,23.0,48,27,75,64.0,36.0,18.3,34,21,55,61.8,38.2,13.4,21,14,35,60.0,40.0,8.6,236,173,0,409,57.7,42.3
142,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-142-WI.pdf,10,11,21,47.6,52.4,3.7,49,41,90,54.4,45.6,16.0,71,58,129,55.0,45.0,22.9,69,59,128,53.9,46.1,22.7,56,54,110,50.9,49.1,19.5,32,24,56,57.1,42.9,9.9,15,15,30,50.0,50.0,5.3,302,262,0,564,53.5,46.5
143,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-143-WI.pdf,6,5,11,54.5,45.5,2.6,42,14,56,75.0,25.0,13.3,53,36,89,59.6,40.4,21.1,53,57,110,48.2,51.8,26.1,49,34,83,59.0,41.0,19.7,20,18,38,52.6,47.4,9.0,13,21,34,38.2,61.8,8.1,236,185,0,421,56.1,43.9
144,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-144-WI.pdf,5,6,11,45.5,54.5,3.0,24,24,48,50.0,50.0,13.0,46,39,85,54.1,45.9,23.0,40,38,78,51.3,48.7,21.1,37,30,67,55.2,44.8,18.1,28,25,53,52.8,47.2,14.3,16,12,28,57.1,42.9,7.6,196,174,0,370,53.0,47.0
